timestamp,id,shipname,shiptype,shiplength[m],shipbeam[m],lat,lon,yaw[deg],turningrate[deg/s],tugenable
2026-07-23T00:01:00.000Z,traffic_2,BLUEWAVE,어선,32,7,35.064313,129.117485,225.0,0.00,0
2026-07-23T00:00:00.000Z,traffic_3,SEAFALCON,컨테이너선,210,32,35.032354,129.078445,45.0,0.00,0
2026-07-23T00:00:05.000Z,traffic_3,SEAFALCON,컨테이너선,210,32,35.034821,129.081459,45.0,0.00,0
2026-07-23T00:00:10.000Z,traffic_3,SEAFALCON,컨테이너선,210,32,35.037288,129.084472,45.0,0.00,0
2026-07-23T00:00:15.000Z,traffic_3,SEAFALCON,컨테이너선,210,32,35.039756,129.087486,45.0,0.00,0
2026-07-23T00:00:20.000Z,traffic_3,SEAFALCON,컨테이너선,210,32,35.042223,129.090499,45.0,0.00,0
2026-07-23T00:00:25.000Z,traffic_3,SEAFALCON,컨테이너선,210,32,35.044690,129.093513,45.0,0.00,0
2026-07-23T00:00:30.000Z,traffic_3,SEAFALCON,컨테이너선,210,32,35.047157,129.096527,45.0,0.00,0
2026-07-23T00:00:35.000Z,traffic_3,SEAFALCON,컨테이너선,210,32,35.049624,129.099541,45.0,0.00,0
2026-07-23T00:00:40.000Z,traffic_3,SEAFALCON,컨테이너선,210,32,35.052092,129.102554,45.0,0.00,0
2026-07-23T00:00:45.000Z,traffic_3,SEAFALCON,컨테이너선,210,32,35.054559,129.105568,45.0,0.00,0
2026-07-23T00:00:50.000Z,traffic_3,SEAFALCON,컨테이너선,210,32,35.057026,129.108582,45.0,0.00,0
2026-07-23T00:00:55.000Z,traffic_3,SEAFALCON,컨테이너선,210,32,35.059493,129.111596,45.0,0.00,0
2026-07-23T00:01:00.000Z,traffic_3,SEAFALCON,컨테이너선,210,32,35.061960,129.114610,45.0,0.00,0
2026-07-23T00:00:00.000Z,traffic_4,ANCHOR-7,벌크선,190,30,35.047778,129.120279,60.0,0.00,0
2026-07-23T00:00:05.000Z,traffic_4,ANCHOR-7,벌크선,190,30,35.047778,129.120279,60.0,0.00,0
2026-07-23T00:00:10.000Z,traffic_4,ANCHOR-7,벌크선,190,30,35.047778,129.120279,60.0,0.00,0
2026-07-23T00:00:15.000Z,traffic_4,ANCHOR-7,벌크선,190,30,35.047778,129.120279,60.0,0.00,0
2026-07-23T00:00:20.000Z,traffic_4,ANCHOR-7,벌크선,190,30,35.047778,129.120279,60.0,0.00,0
2026-07-23T00:00:25.000Z,traffic_4,ANCHOR-7,벌크선,190,30,35.047778,129.120279,60.0,0.00,0
2026-07-23T00:00:30.000Z,traffic_4,ANCHOR-7,벌크선,190,30,35.047778,129.120279,60.0,0.00,0
2026-07-23T00:00:35.000Z,traffic_4,ANCHOR-7,벌크선,190,30,35.047778,129.120279,60.0,0.00,0
2026-07-23T00:00:40.000Z,traffic_4,ANCHOR-7,벌크선,190,30,35.047778,129.120279,60.0,0.00,0
2026-07-23T00:00:45.000Z,traffic_4,ANCHOR-7,벌크선,190,30,35.047778,129.120279,60.0,0.00,0
2026-07-23T00:00:50.000Z,traffic_4,ANCHOR-7,벌크선,190,30,35.047778,129.120279,60.0,0.00,0
2026-07-23T00:00:55.000Z,traffic_4,ANCHOR-7,벌크선,190,30,35.047778,129.120279,60.0,0.00,0
2026-07-23T00:01:00.000Z,traffic_4,ANCHOR-7,벌크선,190,30,35.047778,129.120279,60.0,0.00,0
2026-07-23T00:00:00.000Z,traffic_5,TUGMASTER,예인선,24,8,35.050899,129.113291,10.0,0.00,1
2026-07-23T00:00:05.000Z,traffic_5,TUGMASTER,예인선,24,8,35.051031,129.113320,10.0,0.00,1
2026-07-23T00:00:10.000Z,traffic_5,TUGMASTER,예인선,24,8,35.051164,129.113348,10.0,0.00,1
2026-07-23T00:00:15.000Z,traffic_5,TUGMASTER,예인선,24,8,35.051297,129.113377,10.0,0.00,1
2026-07-23T00:00:20.000Z,traffic_5,TUGMASTER,예인선,24,8,35.051429,129.113405,10.0,0.00,1
2026-07-23T00:00:00.000Z,traffic_6,PACIFIC DAWN,벌크선,175,27,35.044118,129.107185,45.0,0.00,0
2026-07-23T00:00:05.000Z,traffic_6,PACIFIC DAWN,벌크선,175,27,35.045017,129.108283,45.0,0.00,0
2026-07-23T00:00:10.000Z,traffic_6,PACIFIC DAWN,벌크선,175,27,35.045915,129.109381,45.0,0.00,0
2026-07-23T00:00:15.000Z,traffic_6,PACIFIC DAWN,벌크선,175,27,35.046814,129.110478,45.0,0.00,0
2026-07-23T00:00:20.000Z,traffic_6,PACIFIC DAWN,벌크선,175,27,35.047713,129.111576,45.0,0.00,0
2026-07-23T00:00:25.000Z,traffic_6,PACIFIC DAWN,벌크선,175,27,35.048611,129.112674,45.0,0.00,0
2026-07-23T00:00:30.000Z,traffic_6,PACIFIC DAWN,벌크선,175,27,35.049510,129.113772,45.0,0.00,0
2026-07-23T00:00:35.000Z,traffic_6,PACIFIC DAWN,벌크선,175,27,35.050409,129.114870,45.0,0.00,0
2026-07-23T00:00:40.000Z,traffic_6,PACIFIC DAWN,벌크선,175,27,35.051307,129.115968,45.0,0.00,0
2026-07-23T00:00:45.000Z,traffic_6,PACIFIC DAWN,벌크선,175,27,35.052206,129.117065,45.0,0.00,0
2026-07-23T00:00:50.000Z,traffic_6,PACIFIC DAWN,벌크선,175,27,35.053105,129.118163,45.0,0.00,0
2026-07-23T00:00:55.000Z,traffic_6,PACIFIC DAWN,벌크선,175,27,35.054003,129.119261,45.0,0.00,0
2026-07-23T00:01:00.000Z,traffic_6,PACIFIC DAWN,벌크선,175,27,35.054902,129.120359,45.0,0.00,0
2026-07-23T00:00:30.000Z,traffic_7,GREENLINE,여객선,140,22,35.051307,129.115968,225.0,0.00,0
2026-07-23T00:00:35.000Z,traffic_7,GREENLINE,여객선,140,22,35.054248,129.112375,225.0,0.00,0
2026-07-23T00:00:40.000Z,traffic_7,GREENLINE,여객선,140,22,35.057189,129.108782,225.0,0.00,0
2026-07-23T00:00:45.000Z,traffic_7,GREENLINE,여객선,140,22,35.060130,129.105189,225.0,0.00,0
2026-07-23T00:00:50.000Z,traffic_7,GREENLINE,여객선,140,22,35.063071,129.101596,225.0,0.00,0
2026-07-23T00:00:40.000Z,traffic_8,SILVERFIN,어선,18,5,35.061339,129.108103,135.0,0.00,0
2026-07-23T00:00:45.000Z,traffic_8,SILVERFIN,어선,18,5,35.059771,129.110019,135.0,0.00,0
2026-07-23T00:00:50.000Z,traffic_8,SILVERFIN,어선,18,5,35.058202,129.111936,135.0,0.00,0
2026-07-23T00:00:55.000Z,traffic_8,SILVERFIN,어선,18,5,35.056634,129.113852,135.0,0.00,0
2026-07-23T00:00:00.000Z,traffic_9,OCEAN GUARD,순찰선,45,8,35.029747,129.094075,90.0,6.00,0
2026-07-23T00:00:05.000Z,traffic_9,OCEAN GUARD,순찰선,45,8,35.029413,129.095598,120.0,6.00,0
2026-07-23T00:00:10.000Z,traffic_9,OCEAN GUARD,순찰선,45,8,35.028500,129.096714,150.0,6.00,0
2026-07-23T00:00:15.000Z,traffic_9,OCEAN GUARD,순찰선,45,8,35.027252,129.097122,180.0,6.00,0
2026-07-23T00:00:20.000Z,traffic_9,OCEAN GUARD,순찰선,45,8,35.026004,129.096714,210.0,6.00,0
2026-07-23T00:00:25.000Z,traffic_9,OCEAN GUARD,순찰선,45,8,35.025091,129.095598,240.0,6.00,0
2026-07-23T00:00:30.000Z,traffic_9,OCEAN GUARD,순찰선,45,8,35.024756,129.094075,270.0,6.00,0
2026-07-23T00:00:35.000Z,traffic_9,OCEAN GUARD,순찰선,45,8,35.025091,129.092551,300.0,6.00,0
2026-07-23T00:00:40.000Z,traffic_9,OCEAN GUARD,순찰선,45,8,35.026004,129.091435,330.0,6.00,0
2026-07-23T00:00:45.000Z,traffic_9,OCEAN GUARD,순찰선,45,8,35.027252,129.091027,0.0,6.00,0
2026-07-23T00:00:50.000Z,traffic_9,OCEAN GUARD,순찰선,45,8,35.028500,129.091435,30.0,6.00,0
2026-07-23T00:00:55.000Z,traffic_9,OCEAN GUARD,순찰선,45,8,35.029413,129.092551,60.0,6.00,0
2026-07-23T00:01:00.000Z,traffic_9,OCEAN GUARD,순찰선,45,8,35.029747,129.094075,90.0,6.00,0
2026-07-23T00:00:45.000Z,traffic_10,DRIFTER,예인대상,30,9,35.058987,129.129269,0.0,0.00,0
2026-07-23T00:00:50.000Z,traffic_10,DRIFTER,예인대상,30,9,35.058987,129.129269,0.0,0.00,0
2026-07-23T00:00:55.000Z,traffic_10,DRIFTER,예인대상,30,9,35.058987,129.129269,0.0,0.00,0
2026-07-23T00:01:00.000Z,traffic_10,DRIFTER,예인대상,30,9,35.058987,129.129269,0.0,0.00,0
